datum_zobrazeni;datum;kraj_kod;kraj;okres_kod;okres;body;incidence14_100;incidence14_100_body;incidence_65_14_100;incidence_65_14_100_body;incidence_65_roste;incidence_65_roste_body;simple_r;simple_r_body;pozit_perc_test;pozit_perc_test_body;pozit_perc_test_roste;pozit_perc_test_roste_body
2020-10-01;2020-09-30;CZ010;Hl. m. Praha;CZ0100;Praha;41;478.449750300000;13;202.654817900000;10;0;0;0.934206423448;5;0.147637116246;11;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0201;Benešov;65;397.328344000000;13;322.833105000000;13;1;2;1.567741935483;20;0.182844243792;15;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0202;Beroun;44;342.948515600000;13;91.454701300000;7;1;2;0.908536585365;5;0.173862310385;15;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0203;Kladno;50;279.307797100000;13;146.829115900000;10;0;0;1.122448979591;10;0.175298804780;15;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0204;Kolín;57;311.820936800000;13;193.557992900000;10;1;2;1.073170731707;10;0.225930680359;20;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0205;Kutná Hora;42;209.685076700000;10;119.384228700000;7;1;2;1.023529411764;10;0.139200000000;11;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0206;Mělník;49;344.915921000000;13;117.353674600000;7;1;2;1.106145251396;10;0.159292035398;15;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0207;Mladá Boleslav;47;307.597898200000;13;204.243257800000;10;1;2;0.954751131221;5;0.168127490039;15;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0208;Nymburk;70;373.689114400000;13;417.834664400000;13;1;2;1.400000000000;20;0.203345070422;20;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0209;Praha-východ;45;432.016762200000;13;125.935521000000;10;0;0;0.862700228832;5;0.152323232323;15;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ020A;Praha-západ;50;462.708754600000;13;303.431770500000;13;1;2;0.991735537190;5;0.161001788908;15;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ020B;Příbram;45;334.480122300000;13;160.683326900000;10;1;2;0.935483870967;5;0.165714285714;15;0;0
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ020C;Rakovník;42;190.777869700000;10;94.639938000000;7;1;2;1.018181818181;10;0.133651551312;11;1;2
2020-10-01;2020-09-30;CZ031;Jihočeský kraj;CZ0311;České Budějovice;47;266.968857000000;13;128.899878900000;10;1;2;0.816254416961;5;0.171747211895;15;1;2
2020-10-01;2020-09-30;CZ031;Jihočeský kraj;CZ0312;Český Krumlov;46;154.331015600000;10;61.398122900000;7;1;2;1.000000000000;10;0.168789808917;15;1;2
2020-10-01;2020-09-30;CZ031;Jihočeský kraj;CZ0313;Jindřichův Hradec;38;125.700172000000;10;55.942633300000;7;0;0;1.035087719298;10;0.110280373831;11;0;0
2020-10-01;2020-09-30;CZ031;Jihočeský kraj;CZ0314;Písek;46;212.329054100000;10;76.185639000000;7;1;2;1.050632911392;10;0.150635208711;15;1;2
2020-10-01;2020-09-30;CZ031;Jihočeský kraj;CZ0315;Prachatice;41;174.585115100000;10;99.127676400000;7;1;2;0.877551020408;5;0.164122137404;15;1;2
2020-10-01;2020-09-30;CZ031;Jihočeský kraj;CZ0316;Strakonice;37;154.015712400000;10;81.092039400000;7;1;2;0.810810810810;5;0.147420147420;11;1;2
2020-10-01;2020-09-30;CZ031;Jihočeský kraj;CZ0317;Tábor;47;276.816608900000;13;180.856354800000;10;1;2;0.943262411347;5;0.161997563946;15;1;2
2020-10-01;2020-09-30;CZ032;Plzeňský kraj;CZ0321;Domažlice;61;148.238857900000;10;40.332338400000;4;0;0;1.741935483870;25;0.208494208494;20;1;2
