datum_zobrazeni;datum;kraj_kod;kraj;okres_kod;okres;body;incidence14_100;incidence14_100_body;incidence_65_14_100;incidence_65_14_100_body;incidence_65_roste;incidence_65_roste_body;simple_r;simple_r_body;pozit_perc_test;pozit_perc_test_body;pozit_perc_test_roste;pozit_perc_test_roste_body
2020-10-01;2020-09-30;CZ010;Hl. m. Praha;CZ0100;Praha;41;478.449750300000;13;202.654817900000;10;0;0;0.935705368289;5;0.147735672399;11;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0201;Benešov;65;397.328344000000;13;322.833105000000;13;1;2;1.567741935483;20;0.182844243792;15;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0202;Beroun;44;344.000504900000;13;91.454701300000;7;1;2;0.909090909090;5;0.175029171528;15;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0203;Kladno;50;278.707135200000;13;146.829115900000;10;0;0;1.122448979591;10;0.175298804780;15;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0204;Kolín;57;311.820936800000;13;193.557992900000;10;1;2;1.073170731707;10;0.225930680359;20;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0205;Kutná Hora;42;208.366302600000;10;119.384228700000;7;1;2;1.023809523809;10;0.137600000000;11;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0206;Mělník;49;344.915921000000;13;117.353674600000;7;1;2;1.106145251396;10;0.159292035398;15;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0207;Mladá Boleslav;47;307.597898200000;13;204.243257800000;10;1;2;0.954751131221;5;0.168127490039;15;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0208;Nymburk;70;373.689114400000;13;417.834664400000;13;1;2;1.400000000000;20;0.203345070422;20;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ0209;Praha-východ;45;430.936720300000;13;122.337363200000;10;0;0;0.860091743119;5;0.151515151515;15;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ020A;Praha-západ;50;464.047998500000;13;303.431770500000;13;1;2;0.986301369863;5;0.161001788908;15;1;2
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ020B;Příbram;45;334.480122300000;13;160.683326900000;10;1;2;0.935483870967;5;0.165714285714;15;0;0
2020-10-01;2020-09-30;CZ020;Středočeský kraj;CZ020C;Rakovník;42;190.777869700000;10;94.639938000000;7;1;2;1.018181818181;10;0.133651551312;11;1;2
2020-10-01;2020-09-30;CZ031;Jihočeský kraj;CZ0311;České Budějovice;47;266.458400300000;13;128.899878900000;10;1;2;0.816254416961;5;0.171747211895;15;1;2
2020-10-01;2020-09-30;CZ031;Jihočeský kraj;CZ0312;Český Krumlov;46;154.331015600000;10;61.398122900000;7;1;2;1.000000000000;10;0.168789808917;15;1;2
2020-10-01;2020-09-30;CZ031;Jihočeský kraj;CZ0313;Jindřichův Hradec;38;125.700172000000;10;55.942633300000;7;0;0;1.035087719298;10;0.110280373831;11;0;0
2020-10-01;2020-09-30;CZ031;Jihočeský kraj;CZ0314;Písek;46;212.329054100000;10;76.185639000000;7;1;2;1.050632911392;10;0.150635208711;15;1;2
2020-10-01;2020-09-30;CZ031;Jihočeský kraj;CZ0315;Prachatice;41;174.585115100000;10;99.127676400000;7;1;2;0.877551020408;5;0.164122137404;15;1;2
2020-10-01;2020-09-30;CZ031;Jihočeský kraj;CZ0316;Strakonice;37;154.015712400000;10;81.092039400000;7;1;2;0.810810810810;5;0.147420147420;11;1;2
