datum,kraj_nuts_kod,okres_lau_kod,prirustkovy_pocet_testu_okres,kumulativni_pocet_testu_okres,prirustkovy_pocet_testu_kraj,kumulativni_pocet_testu_kraj,prirustkovy_pocet_prvnich_testu_okres,kumulativni_pocet_prvnich_testu_okres,prirustkovy_pocet_prvnich_testu_kraj,kumulativni_pocet_prvnich_testu_kraj
2020-08-01,CZ020,CZ020C,11,11,671,671,8,8,490,490
2020-08-01,CZ020,CZ0209,117,117,671,671,75,75,490,490
2020-08-01,CZ020,CZ0208,62,62,671,671,35,35,490,490
2020-08-01,CZ020,CZ0201,17,17,671,671,14,14,490,490
2020-08-01,CZ020,CZ0204,58,58,671,671,49,49,490,490
2020-08-01,CZ020,CZ0206,65,65,671,671,48,48,490,490
2020-08-01,CZ020,CZ020B,18,18,671,671,12,12,490,490
2020-08-01,CZ020,CZ0205,8,8,671,671,7,7,490,490
2020-08-01,CZ020,CZ0207,61,61,671,671,45,45,490,490
2020-08-01,CZ020,CZ0202,62,62,671,671,48,48,490,490
2020-08-01,CZ020,CZ020A,159,159,671,671,120,120,490,490
2020-08-01,CZ020,CZ0203,33,33,671,671,29,29,490,490
2020-08-02,CZ020,CZ0208,46,108,460,1131,26,61,360,850
2020-08-02,CZ020,CZ0209,88,205,460,1131,59,134,360,850
2020-08-02,CZ020,CZ0202,38,100,460,1131,32,80,360,850
2020-08-02,CZ020,CZ0201,13,30,460,1131,11,25,360,850
2020-08-02,CZ020,CZ0206,27,92,460,1131,20,68,360,850
2020-08-02,CZ020,CZ0205,7,15,460,1131,4,11,360,850
2020-08-02,CZ020,CZ020C,8,19,460,1131,7,15,360,850
2020-08-02,CZ020,CZ0204,110,168,460,1131,105,154,360,850
2020-08-02,CZ020,CZ020B,5,23,460,1131,5,17,360,850
2020-08-02,CZ020,CZ0207,34,95,460,1131,28,73,360,850
2020-08-02,CZ020,CZ020A,70,229,460,1131,51,171,360,850
2020-08-02,CZ020,CZ0203,14,47,460,1131,12,41,360,850
2020-08-03,CZ020,CZ0203,51,98,954,2085,35,76,688,1538
2020-08-03,CZ020,CZ020A,182,411,954,2085,112,283,688,1538
2020-08-03,CZ020,CZ0207,66,161,954,2085,51,124,688,1538
2020-08-03,CZ020,CZ020B,50,73,954,2085,40,57,688,1538
2020-08-03,CZ020,CZ0204,54,222,954,2085,48,202,688,1538
2020-08-03,CZ020,CZ020C,10,29,954,2085,9,24,688,1538
2020-08-03,CZ020,CZ0205,47,62,954,2085,30,41,688,1538
2020-08-03,CZ020,CZ0206,63,155,954,2085,44,112,688,1538
2020-08-03,CZ020,CZ0201,125,155,954,2085,112,137,688,1538
2020-08-03,CZ020,CZ0202,48,148,954,2085,33,113,688,1538
2020-08-03,CZ020,CZ0209,193,398,954,2085,128,262,688,1538
2020-08-03,CZ020,CZ0208,65,173,954,2085,46,107,688,1538
2020-08-04,CZ020,CZ0208,76,249,1040,3125,56,163,798,2336
2020-08-04,CZ020,CZ0209,190,588,1040,3125,136,398,798,2336
2020-08-04,CZ020,CZ0202,61,209,1040,3125,50,163,798,2336
2020-08-04,CZ020,CZ020B,67,140,1040,3125,49,106,798,2336
2020-08-04,CZ020,CZ0204,68,290,1040,3125,54,256,798,2336
2020-08-04,CZ020,CZ0201,98,253,1040,3125,81,218,798,2336
2020-08-04,CZ020,CZ0206,78,233,1040,3125,53,165,798,2336
2020-08-04,CZ020,CZ0207,109,270,1040,3125,93,217,798,2336
2020-08-04,CZ020,CZ020C,11,40,1040,3125,9,33,798,2336
2020-08-04,CZ020,CZ0205,37,99,1040,3125,35,76,798,2336
2020-08-04,CZ020,CZ0203,57,155,1040,3125,51,127,798,2336
2020-08-04,CZ020,CZ020A,188,599,1040,3125,131,414,798,2336
2020-08-05,CZ020,CZ0209,163,751,884,4009,110,508,655,2991
2020-08-05,CZ020,CZ0208,73,322,884,4009,47,210,655,2991
